,node_idx,AirportID,Airline,Stops,DestAirportID,SourceAirportID,DestSourceRatio,Country
1942,1942,3928,17.0,0.0,65.0,66.0,0.9848484848484849,Indonesia
1943,1943,3929,7.0,0.0,8.0,8.0,1.0,Indonesia
1944,1944,3930,66.0,0.0,370.0,370.0,1.0,South Korea
1945,1945,3931,32.0,0.0,48.0,47.0,1.0212765957446808,Thailand
1946,1946,3932,11.0,0.0,11.0,11.0,1.0,Thailand
1947,1947,3933,2.0,0.0,2.0,2.0,1.0,Thailand
1948,1948,3936,2.0,0.0,2.0,2.0,1.0,Thailand
1949,1949,3937,3.0,0.0,3.0,3.0,1.0,Thailand
1950,1950,3938,2.0,0.0,2.0,2.0,1.0,Thailand
1951,1951,3939,1.0,0.0,1.0,1.0,1.0,Thailand
1952,1952,3940,33.0,0.0,100.0,101.0,0.9900990099009901,Indonesia
1953,1953,3941,52.0,0.0,197.0,206.0,0.9563106796116505,Greece
1954,1954,3942,27.0,0.0,84.0,85.0,0.9882352941176471,Japan
1955,1955,3943,3.0,0.0,12.0,12.0,1.0,Japan
1956,1956,3944,1.0,0.0,2.0,2.0,1.0,United States
1957,1957,3945,2.0,0.0,4.0,4.0,1.0,United States
1958,1958,3946,5.0,0.0,6.0,6.0,1.0,United States
1959,1959,3947,4.0,0.0,4.0,4.0,1.0,United States
1960,1960,3948,5.0,0.0,10.0,10.0,1.0,United States
1961,1961,3949,5.0,0.0,8.0,8.0,1.0,United States
1962,1962,3950,5.0,0.0,5.0,5.0,1.0,United States
1963,1963,3953,25.0,0.0,101.0,101.0,1.0,Latvia
1964,1964,3956,1.0,0.0,19.0,19.0,1.0,Lithuania
1965,1965,3958,3.0,0.0,3.0,3.0,1.0,Lithuania
1966,1966,3959,23.0,0.0,58.0,58.0,1.0,Lithuania
1967,1967,3964,26.0,0.0,45.0,45.0,1.0,Armenia
1968,1968,3965,1.0,0.0,1.0,1.0,1.0,Armenia
1969,1969,3967,3.0,0.0,7.0,8.0,0.875,Eritrea
1970,1970,3968,1.0,0.0,1.0,0.0,inf,Eritrea
1971,1971,3971,5.0,0.0,6.0,6.0,1.0,Georgia
1972,1972,3972,4.0,0.0,8.0,8.0,1.0,Georgia
1973,1973,3973,25.0,0.0,34.0,35.0,0.9714285714285714,Georgia
1974,1974,3974,2.0,0.0,12.0,10.0,1.2,Yemen
1975,1975,3975,2.0,0.0,7.0,7.0,1.0,Yemen
1976,1976,3976,2.0,0.0,5.0,4.0,1.25,Yemen
1977,1977,3977,7.0,0.0,23.0,21.0,1.0952380952380953,Yemen
1978,1978,3978,1.0,0.0,1.0,1.0,1.0,Yemen
1979,1979,3979,1.0,0.0,1.0,2.0,0.5,Yemen
1980,1980,3980,12.0,0.0,37.0,38.0,0.9736842105263158,Yemen
1981,1981,3984,2.0,0.0,2.0,2.0,1.0,Yemen
1982,1982,3986,8.0,0.0,23.0,23.0,1.0,Germany
1983,1983,3987,2.0,0.0,2.0,2.0,1.0,Turkey
1984,1984,3988,28.0,0.0,75.0,74.0,1.0135135135135136,Argentina
1985,1985,3989,20.0,0.0,30.0,30.0,1.0,Iraq
1986,1986,3990,2.0,0.0,2.0,2.0,1.0,Australia
1987,1987,3992,51.0,0.0,152.0,152.0,1.0,Japan
1988,1988,3994,3.0,0.0,3.0,3.0,1.0,Philippines
1989,1989,3995,1.0,0.0,5.0,5.0,1.0,Greenland
1990,1990,3997,1.0,0.0,3.0,3.0,1.0,Greenland
1991,1991,3998,37.0,0.0,271.0,277.0,0.9783393501805054,Spain
1992,1992,3999,14.0,0.0,46.0,44.0,1.0454545454545454,Australia
1993,1993,4000,4.0,0.0,4.0,4.0,1.0,Thailand
1994,1994,4006,2.0,0.0,2.0,2.0,1.0,United States
1995,1995,4007,8.0,0.0,12.0,12.0,1.0,United States
1996,1996,4008,10.0,0.0,25.0,26.0,0.9615384615384616,United States
1997,1997,4009,6.0,0.0,13.0,13.0,1.0,United States
1998,1998,4010,3.0,0.0,4.0,4.0,1.0,Australia
1999,1999,4011,7.0,0.0,20.0,20.0,1.0,United States
2000,2000,4012,1.0,0.0,1.0,1.0,1.0,United States
2001,2001,4013,1.0,0.0,2.0,2.0,1.0,Malaysia
2002,2002,4014,9.0,0.0,41.0,42.0,0.9761904761904762,United States
2003,2003,4015,6.0,0.0,13.0,13.0,1.0,United States
2004,2004,4016,8.0,0.0,15.0,15.0,1.0,United States
2005,2005,4017,8.0,0.0,20.0,20.0,1.0,United States
2006,2006,4018,6.0,0.0,9.0,9.0,1.0,United States
2007,2007,4019,13.0,0.0,42.0,41.0,1.024390243902439,United States
2008,2008,4020,5.0,0.0,8.0,8.0,1.0,United States
2009,2009,4021,5.0,0.0,12.0,12.0,1.0,United States
2010,2010,4022,1.0,0.0,1.0,1.0,1.0,United States
2011,2011,4023,4.0,0.0,5.0,5.0,1.0,United States
2012,2012,4024,2.0,0.0,3.0,3.0,1.0,Guatemala
2013,2013,4025,1.0,0.0,1.0,1.0,1.0,United States
2014,2014,4026,1.0,0.0,1.0,1.0,1.0,United States
2015,2015,4027,2.0,0.0,2.0,2.0,1.0,United States
2016,2016,4028,1.0,0.0,5.0,5.0,1.0,United States
2017,2017,4029,70.0,0.0,322.0,324.0,0.9938271604938271,Russia
2018,2018,4030,24.0,0.0,109.0,109.0,1.0,China
2019,2019,4033,16.0,0.0,65.0,64.0,1.015625,China
2020,2020,4034,11.0,0.0,29.0,29.0,1.0,United States
2021,2021,4037,7.0,0.0,12.0,12.0,1.0,United States
2022,2022,4038,7.0,0.0,9.0,9.0,1.0,United States
2023,2023,4039,4.0,0.0,6.0,6.0,1.0,United States
2024,2024,4040,3.0,0.0,5.0,5.0,1.0,United States
2025,2025,4041,8.0,0.0,16.0,16.0,1.0,United States
2026,2026,4042,1.0,0.0,2.0,2.0,1.0,United States
2027,2027,4043,8.0,0.0,17.0,18.0,0.9444444444444444,United States
2028,2028,4044,3.0,0.0,3.0,3.0,1.0,United States
2029,2029,4045,4.0,0.0,5.0,5.0,1.0,United States
2030,2030,4046,7.0,0.0,15.0,15.0,1.0,United States
2031,2031,4047,5.0,0.0,9.0,9.0,1.0,United States
2032,2032,4048,4.0,0.0,4.0,4.0,1.0,United States
2033,2033,4049,2.0,0.0,4.0,4.0,1.0,United States
2034,2034,4050,2.0,0.0,4.0,4.0,1.0,United States
2035,2035,4051,1.0,0.0,1.0,1.0,1.0,Australia
2036,2036,4052,2.0,0.0,2.0,2.0,1.0,Australia
2037,2037,4054,3.0,0.0,7.0,7.0,1.0,China
2038,2038,4056,2.0,0.0,6.0,6.0,1.0,Malaysia
2039,2039,4057,12.0,0.0,38.0,39.0,0.9743589743589743,Egypt
2040,2040,4058,1.0,0.0,2.0,2.0,1.0,United States
2041,2041,4059,39.0,0.0,130.0,128.0,1.015625,Kenya
2042,2042,4061,2.0,0.0,4.0,4.0,1.0,Argentina
2043,2043,4062,2.0,0.0,2.0,2.0,1.0,Australia
2044,2044,4063,5.0,0.0,8.0,8.0,1.0,United States
2045,2045,4064,2.0,0.0,2.0,2.0,1.0,United States
2046,2046,4067,9.0,0.0,13.0,13.0,1.0,United States
2047,2047,4069,9.0,0.0,15.0,15.0,1.0,Bermuda
2048,2048,4072,7.0,0.0,15.0,15.0,1.0,United States
2049,2049,4074,5.0,0.0,24.0,22.0,1.0909090909090908,Solomon Islands
2050,2050,4075,12.0,0.0,37.0,38.0,0.9736842105263158,French Polynesia
2051,2051,4076,1.0,0.0,3.0,3.0,1.0,Nauru
2052,2052,4077,1.0,0.0,1.0,1.0,1.0,Tuvalu
2053,2053,4078,24.0,0.0,86.0,89.0,0.9662921348314607,Russia
2054,2054,4081,1.0,0.0,1.0,1.0,1.0,Laos
2055,2055,4083,4.0,0.0,6.0,6.0,1.0,United States
2056,2056,4085,15.0,0.0,65.0,66.0,0.9848484848484849,China
2057,2057,4086,1.0,0.0,1.0,1.0,1.0,Thailand
2058,2058,4087,5.0,0.0,8.0,8.0,1.0,United States
2059,2059,4088,1.0,0.0,1.0,1.0,1.0,United States
2060,2060,4089,8.0,0.0,14.0,12.0,1.1666666666666667,United States
2061,2061,4090,5.0,0.0,14.0,14.0,1.0,Philippines
2062,2062,4091,21.0,0.0,52.0,52.0,1.0,Portugal
2063,2063,4092,6.0,0.0,13.0,12.0,1.0833333333333333,Brazil
2064,2064,4093,1.0,0.0,1.0,1.0,1.0,Cambodia
2065,2065,4095,1.0,0.0,3.0,3.0,1.0,New Zealand
2066,2066,4097,9.0,0.0,30.0,30.0,1.0,China
2067,2067,4098,1.0,0.0,1.0,1.0,1.0,United States
2068,2068,4099,7.0,0.0,14.0,13.0,1.0769230769230769,United States
2069,2069,4100,3.0,0.0,4.0,4.0,1.0,United States
2070,2070,4101,5.0,0.0,9.0,9.0,1.0,United States
2071,2071,4103,5.0,0.0,8.0,8.0,1.0,United States
2072,2072,4105,6.0,0.0,19.0,19.0,1.0,Namibia
2073,2073,4106,2.0,0.0,2.0,2.0,1.0,Canada
2074,2074,4108,21.0,0.0,135.0,135.0,1.0,China
2075,2075,4109,8.0,0.0,37.0,37.0,1.0,China
2076,2076,4110,4.0,0.0,10.0,10.0,1.0,China
2077,2077,4111,7.0,0.0,22.0,23.0,0.9565217391304348,Russia
2078,2078,4112,8.0,0.0,22.0,22.0,1.0,United States
2079,2079,4113,8.0,0.0,18.0,18.0,1.0,United States
2080,2080,4114,1.0,0.0,1.0,1.0,1.0,United States
2081,2081,4115,5.0,0.0,7.0,7.0,1.0,United States
2082,2082,4116,6.0,0.0,7.0,7.0,1.0,United States
2083,2083,4117,1.0,0.0,1.0,1.0,1.0,United States
2084,2084,4119,12.0,0.0,23.0,17.0,1.3529411764705883,Djibouti
2085,2085,4120,22.0,0.0,108.0,107.0,1.0093457943925233,China
2086,2086,4124,4.0,0.0,6.0,6.0,1.0,United States
2087,2087,4125,0.0,0.0,0.0,1.0,0.0,Honduras
2088,2088,4127,4.0,0.0,5.0,5.0,1.0,United States
2089,2089,4128,3.0,0.0,5.0,5.0,1.0,United States
2090,2090,4129,4.0,0.0,4.0,4.0,1.0,United States
